Iterations,Reward function-mean,Advantage function-mean,ECO-R heuristic model free-mean,ECO-R heuristic model based-mean,Maximum entropy natural features-mean,Maximum entropy ECO-R model free-mean,Maximum entropy ECO-R model based-mean,LPAL natural features-mean,LPAL ECO-R model free-mean,LPAL ECO-R model based-mean,BC-mean,Expert-mean,Reward function-error,Advantage function-error,ECO-R heuristic model free-error,ECO-R heuristic model based-error,Maximum entropy natural features-error,Maximum entropy ECO-R model free-error,Maximum entropy ECO-R model based-error,LPAL natural features-error,LPAL ECO-R model free-error,LPAL ECO-R model based-error,BC-error,Expert-error,REIRL,REIRL-error
0,-243.227855987,-243.971108016,-243.933347168,-243.926360278,-243.134805473,-243.499105552,-243.81301123,-189.336857612,-166.851920272,-137.323133202,-124.919048075,4.397,1.27760861176,1.40054788632,1.30106012629,1.36791395807,1.11481264035,1.26250549433,1.35401459632,16.900926773,21.4986166852,14.5377185278,25.9954395963,0.06242,-243.22,8.08
15,-64.6012933193,-65.2262699544,-89.8209989901,-89.3635927619,-171.606184608,-197.432036714,-237.383464524,-189.336857612,-166.851920272,-137.323133202,-124.919048075,4.397,0.951357460548,0.729564320594,4.10635626356,5.16733785642,12.7251307857,12.815469449,15.3063694572,16.900926773,21.4986166852,14.5377185278,25.9954395963,0.06242,-183.51,95.72
30,-50.7114810089,-49.5115646179,-32.9492270717,-32.1319135138,-74.5031588649,-167.545186782,-222.522225934,-189.336857612,-166.851920272,-137.323133202,-124.919048075,4.397,2.50658710554,2.56357793144,3.17994858533,2.49021298585,13.0265450744,15.5351121883,20.4082030126,16.900926773,21.4986166852,14.5377185278,25.9954395963,0.06242,-85.56,99.43
45,-33.1630667238,-29.4672466199,-16.9956593929,-16.2158354415,-32.5965899922,-145.263715902,-205.670956611,-189.336857612,-166.851920272,-137.323133202,-124.919048075,4.397,3.80212160057,3.30426959408,1.936742023,1.63387560926,6.74658137735,15.3389898656,21.5449533724,16.900926773,21.4986166852,14.5377185278,25.9954395963,0.06242,-38.68,63.20
60,-19.844992036,-15.4180410601,-10.0958575842,-10.8763267728,-17.9514740961,-130.086645215,-195.086651452,-189.336857612,-166.851920272,-137.323133202,-124.919048075,4.397,3.85955079172,1.99076420615,1.32134316616,2.80863757502,3.70547789583,15.7817762832,21.3266553825,16.900926773,21.4986166852,14.5377185278,25.9954395963,0.06242,-19.95,37.24
75,-10.8693477346,-8.03125737696,-6.41771320178,-7.51906412059,-9.68663566154,-118.64977212,-186.763611225,-189.336857612,-166.851920272,-137.323133202,-124.919048075,4.397,3.03490409974,1.08982460045,0.828699364779,3.09799844727,1.45727148559,16.4612292949,22.1877417576,16.900926773,21.4986166852,14.5377185278,25.9954395963,0.06242,-13.23,38.21
90,-6.28196805783,-4.3838763973,-4.07684272385,-5.8151829065,-5.48754424829,-110.726235273,-187.58328684,-189.336857612,-166.851920272,-137.323133202,-124.919048075,4.397,2.17682304052,0.808639850054,0.82567749325,3.15956997735,1.30004281522,15.0051241679,23.8435799376,16.900926773,21.4986166852,14.5377185278,25.9954395963,0.06242,-6.97,23.68
105,-3.29043325825,-2.1492137367,-2.07770828711,-3.40748653946,-3.22472691891,-104.496800132,-183.322985547,-189.336857612,-166.851920272,-137.323133202,-124.919048075,4.397,1.61938733407,0.489850513873,1.07711092812,2.51295316385,0.999800155821,17.2173745928,22.4163671034,16.900926773,21.4986166852,14.5377185278,25.9954395963,0.06242,-2.88,11.11
120,-1.38634912465,-0.876012263875,-1.37672290302,-2.6563294242,-1.51049032704,-97.9442765176,-175.583626243,-189.336857612,-166.851920272,-137.323133202,-124.919048075,4.397,0.909847656623,0.493815884787,0.606836484337,2.85848832543,0.771142635194,16.929516669,21.4626400332,16.900926773,21.4986166852,14.5377185278,25.9954395963,0.06242,-1.48,6.37
135,0.00987051679265,0.629177314304,-0.691344299894,-1.72928872494,-0.252857165923,-94.3656845205,-171.252148281,-189.336857612,-166.851920272,-137.323133202,-124.919048075,4.397,0.693543261627,0.40087065949,0.557715068606,2.90000320119,0.642490876787,17.8379709266,21.8037781051,16.900926773,21.4986166852,14.5377185278,25.9954395963,0.06242,-0.15,4.97
150,0.847132803201,1.43114821872,0.0242728568336,-1.18688551703,0.333023519077,-89.877091544,-170.069874746,-189.336857612,-166.851920272,-137.323133202,-124.919048075,4.397,0.599790723668,0.409607684425,0.521479412977,2.8498336909,0.692801032901,19.5310267295,23.3563356734,16.900926773,21.4986166852,14.5377185278,25.9954395963,0.06242,0.73,5.72
