Iterations,Reward function-mean,Advantage function-mean,ECO-R heuristic model free-mean,ECO-R heuristic model based-mean,Maximum entropy natural features-mean,Maximum entropy ECO-R model free-mean,Maximum entropy ECO-R model based-mean,LPAL natural features-mean,LPAL ECO-R model free-mean,LPAL ECO-R model based-mean,BC-mean,Expert-mean,Reward function-error,Advantage function-error,ECO-R heuristic model free-error,ECO-R heuristic model based-error,Maximum entropy natural features-error,Maximum entropy ECO-R model free-error,Maximum entropy ECO-R model based-error,LPAL natural features-error,LPAL ECO-R model free-error,LPAL ECO-R model based-error,BC-error,Expert-error,REIRL,REIRL-error,RE-IRL-ECO,RE-IRL-ECO-error,RE-IRL-N,RE-IRL-N-error,ME-IRL-N,ME-IRL-N-error
0,-244.452075303,-243.968817071,-244.29565381400002,-243.05671190700002,-243.23724577099998,-243.94907526900002,-243.588454015,-171.99755970599998,-41.7612941578,-38.0101683365,-3.76224164174,8.812999999999999,1.57199619044,2.0149154557099997,1.7490226617299998,1.36915496102,1.82586304062,1.7588850933099998,2.1035539945900004,28.4340559502,12.031101268499999,9.15306112179,8.013680695489999,0.03815,-243.16,8.3,-243.1670715090375,8.303406709375821,-243.0989600699892,8.893636853963528,-243.71964043851943,8.099643396773814
15,-65.36957209270001,-65.45374460069999,-81.1470360586,-78.8286715464,-159.966402913,-213.64169545400003,-155.364433496,-171.99755970599998,-41.7612941578,-38.0101683365,-3.76224164174,8.812999999999999,1.22410220996,1.04895409754,6.216667628080001,3.7668716727300002,18.6744105686,15.8169160033,16.8929902001,28.4340559502,12.031101268499999,9.15306112179,8.013680695489999,0.03815,-156.57,65.6,-156.57254296314193,65.61549865569951,-217.04693840736113,79.16604343655231,-163.5837523993169,85.38916861363033
30,-51.384482267799996,-50.7988360179,-26.015515946,-26.2123063299,-63.1914686606,-204.251793411,-100.60801458799999,-171.99755970599998,-41.7612941578,-38.0101683365,-3.76224164174,8.812999999999999,3.91114780751,3.18320560467,2.45420798685,2.21564872191,14.1757584456,22.554391230100002,27.862717705399998,28.4340559502,12.031101268499999,9.15306112179,8.013680695489999,0.03815,-62.5,46.4,-62.49591079484749,46.3858683847992,-200.52593173680702,104.23780484113003,-62.67640922937255,48.424956891753254
45,-34.611711208,-31.327851360500002,-11.2565630089,-11.2887829764,-26.821543653800003,-205.26606028900002,-79.5114995718,-171.99755970599998,-41.7612941578,-38.0101683365,-3.76224164174,8.812999999999999,5.02570281973,4.57760988275,1.20386549826,1.35359351282,4.3450226331,24.5579210963,31.4489949105,28.4340559502,12.031101268499999,9.15306112179,8.013680695489999,0.03815,-30.3,26.9,-30.253234466419162,26.94577827620439,-194.18487954722733,125.02352814856756,-28.45996669814603,28.16744035413108
60,-21.6100000649,-17.4292138717,-5.870610886490001,-5.74765176184,-13.287956243,-198.736667159,-70.9544483547,-171.99755970599998,-41.7612941578,-38.0101683365,-3.76224164174,8.812999999999999,4.648827548580001,2.9530229042299996,0.9959390180709999,0.9480772186319999,2.5749127233,25.0101703819,34.7164201406,28.4340559502,12.031101268499999,9.15306112179,8.013680695489999,0.03815,-15.6,14.4,-15.605466780654421,14.418767547173651,-190.79494462451598,135.41478168194755,-16.090538508498778,22.036030038142243
75,-12.8127088682,-9.34461604165,-3.07937463424,-2.9171098207300004,-8.31016585308,-195.572176153,-64.4368634913,-171.99755970599998,-41.7612941578,-38.0101683365,-3.76224164174,8.812999999999999,3.1580634996099994,1.47053459689,0.664323380341,0.7434092007969999,2.48507723507,24.1061704262,33.4997031046,28.4340559502,12.031101268499999,9.15306112179,8.013680695489999,0.03815,-9.17,11.2,-9.171392383494148,11.216871407713697,-188.25975206002343,131.4002735145673,-8.564889237592269,12.296161935506076
90,-6.956221366219999,-4.59745468407,-1.13326115083,-1.6021473169999998,-4.7302325854000005,-192.40865884099998,-62.3682706502,-171.99755970599998,-41.7612941578,-38.0101683365,-3.76224164174,8.812999999999999,1.69522069719,0.9653093479629999,0.552546048218,0.6089912556679999,1.28682655,25.137051588200002,35.147405426700004,28.4340559502,12.031101268499999,9.15306112179,8.013680695489999,0.03815,-5.49,9.3,-5.490764977731376,9.313581792879903,-185.3794838796469,130.63919325310565,-4.627758927742418,5.960452112515828
105,-3.2740655272600003,-2.4830142680200002,-0.667544420886,-0.34728280451099997,-1.49651820159,-193.511942996,-58.9911654554,-171.99755970599998,-41.7612941578,-38.0101683365,-3.76224164174,8.812999999999999,0.9824301474770001,0.570760841878,0.7408575243459999,0.6961157327930001,1.21642960604,25.4025562648,33.4491229467,28.4340559502,12.031101268499999,9.15306112179,8.013680695489999,-3.18,-2.88,9.7,-3.1849131464067013,9.70191814365879,-179.95357992019112,135.33797264054755,-1.9669144661218776,5.306169806455071
120,-1.6263007697999998,-0.653656696964,0.891918237374,0.603424010095,-0.47499382232299997,-187.127104003,-57.4036666046,-171.99755970599998,-41.7612941578,-38.0101683365,-3.76224164174,8.812999999999999,0.939975746026,0.585765918468,0.438957301263,0.5818897495149999,0.9666355161560001,25.2078053454,34.165489907600005,28.4340559502,12.031101268499999,9.15306112179,8.013680695489999,-1.6,-1.48,8.17,-1.6029747490452741,8.166771595511412,-178.1197230582745,138.52965712689735,-1.0193786380444745,4.1542009587801925
135,0.175002843742,0.391860771326,1.3443165566100002,0.877800239508,0.555043185947,-186.55178543,-58.1640915075,-171.99755970599998,-41.7612941578,-38.0101683365,-3.76224164174,8.812999999999999,0.590990991594,0.635430012751,0.398876968459,0.517581561174,0.678509072049,28.167334360300003,37.11487174,28.4340559502,12.031101268499999,9.15306112179,8.013680695489999,-0.32,-0.15,8.67,-0.3241988657304475,8.674556450259127,-173.25837397230956,133.28024752614004,-0.01770636744949375,3.6531483970724667
150,0.591136341613,1.28763547173,1.5787839698800001,1.9597207188999999,1.4997760536200002,-189.937970531,-59.3818433437,-171.99755970599998,-41.7612941578,-38.0101683365,-3.76224164174,8.812999999999999,0.5343852103260001,0.460465653354,0.325874385717,0.488781998658,0.544804560146,30.1562379537,39.009514264,28.4340559502,12.031101268499999,9.15306112179,8.013680695489999,0.83,0.73,4.82,0.8324301421903444,4.821551508791847,-173.2252153557119,135.55633548213822,1.312295934315586,1.9087312705095774
